client_code,product,push_notification
1,Кредитная карта,"Айгерим, ваши топ-категории — Продукты питания, Кафе и рестораны, Путешествия. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
2,Кредитная карта,"Данияр, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
3,Кредитная карта,"Сабина, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
4,Кредитная карта,"Тимур, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
5,Кредитная карта,"Камилла, с вашими тратами кредитная карта сэкономит 135 тыс ₸ ₸ в месяц. Оформить сейчас."
6,Кредитная карта,"Аян, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
7,Кредитная карта,"Руслан, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
8,Кредитная карта,"Мадина, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
9,Кредитная карта,"Арман, с вашими тратами кредитная карта сэкономит 141 тыс ₸ ₸ в месяц. Оформить сейчас."
10,Кредитная карта,"Карина, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
11,Кредитная карта,"Бауржан, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
12,Кредитная карта,"Жанар, с вашими тратами кредитная карта сэкономит 132 тыс ₸ ₸ в месяц. Оформить сейчас."
13,Кредитная карта,"Алина, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
14,Кредитная карта,"Диас, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
15,Кредитная карта,"Нурия, с вашими тратами кредитная карта сэкономит 109 тыс ₸ ₸ в месяц. Оформить сейчас."
16,Кредитная карта,"Ерасыл, с вашими тратами кредитная карта сэкономит 84 тыс ₸ ₸ в месяц. Оформить сейчас."
17,Кредитная карта,"Жанель, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
18,Кредитная карта,"Санжар, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
19,Премиальная карта,"Азамат, с вашими тратами премиальная карта сэкономит 68 тыс ₸ ₸ в месяц. Оформить карту."
20,Премиальная карта,"Анель, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
21,Премиальная карта,"Павел, с вашими тратами премиальная карта сэкономит 66 тыс ₸ ₸ в месяц. Оформить карту."
22,Премиальная карта,"Аружан, ваш баланс 1.0 млн ₸ ₸ позволяет получить максимум от премиальной карты — до 4% кешбэка. Подключить карту."
23,Премиальная карта,"Темирлан, ваш баланс 1.0 млн ₸ ₸ позволяет получить максимум от премиальной карты — до 4% кешбэка. Подключить карту."
24,Премиальная карта,"Гульмира, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
25,Кредитная карта,"Адиль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
26,Кредитная карта,"Маржан, с вашими тратами кредитная карта сэкономит 135 тыс ₸ ₸ в месяц. Оформить сейчас."
27,Кредитная карта,"Нурсултан, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
28,Кредитная карта,"Алтынай, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
29,Кредитная карта,"Сая, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
30,Кредитная карта,"Ербол, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
31,Кредитная карта,"Дамир, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
32,Кредитная карта,"Алия, с вашими тратами кредитная карта сэкономит 152 тыс ₸ ₸ в месяц. Оформить сейчас."
33,Кредитная карта,"Мерей, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
34,Ошибка обработки,Не удалось сгенерировать уведомление
35,Кредитная карта,"Самат, вы тратите много на Кафе и рестораны. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
36,Кредитная карта,"Назым, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
37,Кредитная карта,"Гульнар, с вашими тратами кредитная карта сэкономит 114 тыс ₸ ₸ в месяц. Оформить сейчас."
38,Кредитная карта,"Серик, вы тратите много на Кафе и рестораны. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
39,Кредитная карта,"Ляззат, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
40,Кредитная карта,"Асхат, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
41,Кредитная карта,"Сандугаш, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
42,Кредитная карта,"Рустем, с вашими тратами кредитная карта сэкономит 158 тыс ₸ ₸ в месяц. Оформить сейчас."
43,Кредитная карта,"Нуртас, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
45,Ошибка обработки,Не удалось сгенерировать уведомление
46,Кредитная карта,"Арсен, с вашими тратами кредитная карта сэкономит 115 тыс ₸ ₸ в месяц. Оформить сейчас."
47,Кредитная карта,"Камшат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
48,Кредитная карта,"Ержан, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
49,Кредитная карта,"Амина, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
50,Премиальная карта,"Тимурлан, ваш баланс 1.0 млн ₸ ₸ позволяет получить максимум от премиальной карты — до 4% кешбэка. Подключить карту."
51,Кредитная карта,"Жанат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
52,Премиальная карта,"Милана, ваш баланс 1.0 млн ₸ ₸ позволяет получить максимум от премиальной карты — до 4% кешбэка. Подключить карту."
53,Кредитная карта,"Расул, вы тратите много на Продукты питания. Кредитная карта вернёт до 10% с этих покупок. Получить карту."
54,Премиальная карта,"Виктория, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
55,Премиальная карта,"Асель, ваш баланс 2.0 млн ₸ ₸ позволяет получить максимум от премиальной карты — до 4% кешбэка. Подключить карту."
56,Премиальная карта,"Нуркен, с вашими тратами премиальная карта сэкономит 82 тыс ₸ ₸ в месяц. Оформить карту."
57,Премиальная карта,"Жания, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
58,Премиальная карта,"Султан, ваш баланс 1.0 млн ₸ ₸ позволяет получить максимум от премиальной карты — до 4% кешбэка. Подключить карту."
59,Премиальная карта,"Динара, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
60,Премиальная карта,"Ермек, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас."
